Dataset,Modality,Size (GB),Subject,Extension
000003,"Blockface photo,Unknown,Dark field microscopy,Diffusion MRI",3670.77,"MR256,n/a,MF162,MN115,MR243,MF275,MF278,MF191,MN083,Unknown,MR252","tif,json,tsv,nii,jp2,ASC,bvec,bval,JPG,ome,white,pial,Img4759,Img4761,Img4761_left,Img4760,Img4764_right,Img4762,Img4766,Img4764,Img4761_right,Img4763,Img4764_left,Img4765,Img4767,Img4767_right,Img4770,Img4769,Img4768,Img4770_right,Img4770_left,Img4771,Img4767_left,Img4772,Img4773,Img4773_left,Img4774,Img4775,Img4773_right,Img4776,Img4777,Img4776_left,Img4776_right,Img4779,Img4778,Img4779_left,Img4781,Img4779_right,Img4780,Img4782,Img4782_left,Img4782_right,Img4783,Img4785_left,Img4784,Img4785_right,Img4785,Img4786,Img4787,Img4788_left,Img4788,Img4789,Img4788_right,Img4790,Img4791,Img4791_right,Img4791_left,Img4792,Img4794,Img4794_left,Img4793,Img4794_right,Img4796,Img4795,Img4797,Img4797_left,Img4797_right,Img4798,Img4800,Img4799,Img4800_left,Img4801,Img4803,Img4800_right,Img4802,Img4803_right,Img4804,Img4803_left,Img4806,Img4807,Img4808,Img4805,Img4809,Img4810,Img4811,Img4812,Img4814,Img4813,Img4815,Img4816,Img4817,Img4818,Img4819,Img4820,Img4821,Img4823,Img4822,Img4824,Img4829,Img4825,Img4827,Img4828,Img4826,Img4830,Img4831,Img4833,Img4834,Img4832,Img4835,Img4836,Img4837,Img4839,Img4838,Img4840,Img4842,Img4841,Img4843,Img4845,Img4846,Img4844,Img4847,Img4849,Img4855,Img4848,Img4856,Img4859,Img4860,Img4850,Img4851,Img4852,Img4853,Img4861,Img4854,Img4858,Img4862,Img4864,Img4865,Img4857,Img4866,Img4867,Img4863,Img4870,Img4869,Img4868,Img4871,Img4873,Img4872,Img4874,Img4875,Img4876,Img4877,Img4879,Img4881,Img4880,Img4882,Img4878,Img4883,Img4884,Img4885,Img4886,Img4887,Img4890,Img4888,Img4889,Img4890_left,Img4892,Img4891,Img4893,Img4890_right,Img4893_left,Img4893_right,Img4895,Img4894,Img4896,Img4896_right,Img4896_left,Img4897,Img4899,Img4898,Img4899_left,Img4899_right,Img4902,Img4900,Img4901,Img4902_left,Img4902_right,Img4903,Img4904,Img4905,Img4905_left,Img4906,Img4905_right,Img4907,Img4908,Img4908_left,Img4908_right,Img4909,Img4910,Img4911,Img4911_left,Img4912,Img4911_right,Img4913,Img4914_left,Img4914,Img4916,Img4914_right,Img4915,Img4917,Img4917_right,Img4917_left,Img4919,Img4918,Img4920,Img4920_left,Img4920_right,Img4921,Img4922,Img4922_left,Img4922_right,Img4925,Img4928,Img4931,yml,png,timg,log,,trk,5-y23,mat,5-y16,5-z41,5-y44-z43,5-y20,5,5-z32,5-y28,5-z33,5-z37,5-y24-z44,5-y32-z35,5-y20-z51,5-y24,5-y22,5-y30-z20,5-y33-z22,5-z23,5-z31,5-y22-z38,5-y25-z34,5-z46,5-y37,5-y32-z43,5-z52,5-y32,5-z34,5-y35-z44,5-z43,5-y43-z48,5-y42-z52,5-y51-z38,5-y43,5-z45,5-y47,5-z35,5-y41-z37,5-z44,5-y43-z42,5-y36-z33,5-y46-z39,5-y39,5-y41,5-y44,5-y42-z33,5-y36,5-y30-z38,5-y35-z32,5-y28-z31,5-y13,5-y16-z40,5-y34-z46,5-z42,5-z47"
000005,"Unknown,Diffusion MRI,Dark field microscopy,HiP-CT",11426.41,"n/a,I58,EXC025,EXC004,S45,I74,I35","json,nii,bvals,bvecs,trk,lta,tiff,mat,gqi,pdf,png,scalartest,scene,hemi,motorIC,motorIC1ex,motorIC1,motorIC3ex,motorIC2ex,motorIC2,pallidosubthalamic1ex,pallidosubthalamic1,pallidosubthalamic2ex,pallidosubthalamic2,pallidosubthalamic3ex,pallidothalamic1,pallidothalamic2,prefrontalIC1ex,prefrontalIC2,prefrontalIC1,prefrontalIC3ex,prefrontalIC2ex,prefrontalIC4ex,ome,tsv"
000006,Unknown,0.14,"n/a,JL1","tsv,json,nii"
000010,Unknown,454.56,"Unknown,macaque,human,n/a","tiff,dat,sifx,ini,mat,bin,ome,json,png,jpg,avi,gif"
000049,"Unknown,HiP-CT",29.51,"n/a,I74,Unknown","tsv,tif,json,ome"
000051,Unknown,0.53,"test1,n/a,test","dat,json,mat,nii"
000052,"Unknown,PS-OCT",9555.85,"Unknown,mouse","mat,nii,ome,mat_shard"
000054,Unknown,10582.11,MF168,"tif,ome"
000055,Unknown,3601.62,"AG9-AY5d,n/a","ome,json"
000057,"Unknown,Dark field microscopy",5.69,"MR252,MN115,MF275,MR243,MR256",ome
000058,"PS-OCT,Unknown",58254.15,MF283,"nii,ome"
